Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
my botox savings program,30,30,140,20,0.87,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.3,1860000,"[15,43,65,65,53,21,21,21,28,43,65,81]",2026-03-23,"Video, Related searches",informational,Organic
botox savings program. com,34,34,70,37,2.07,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,1650000,"[1,100,1,1,1,1,1,3,5,5,5,5]",2026-02-14,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox for eye twitching,33,33,210,13,0.00,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0,3340000,"[53,53,66,66,66,53,66,53,53,53,53,53]",2026-03-20,"Image pack, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox savings program claim form,45,45,40,17,1.19,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.36,0,"[40,100,100,100,60,40,60,80,100,60,80,100]",2026-03-13,Related searches,commercial,Organic
botox injection sites for neck pain,86,86,50,12,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,6610000,"[0,33,33,33,23,42,33,33,33,14,0,0]",2026-02-20,"Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox cervical dystonia,31,31,170,19,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,965000,"[28,34,34,43,34,53,53,65,65,81,53,53]",2026-02-06,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know, Discussions and forums",informational,Organic
headache doctor chicago,58,58,140,4,0.80,https://theheadachelab.com/meet-the-team/,0,0,0.00,0.21,1860000,"[42,26,34,100,100,26,80,80,42,53,26,80]",2026-04-01,"Local pack, Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
the headache clinic,27,27,260,18,4.54,https://theheadachelab.com/,0,0,0.00,0.08,0,"[81,100,100,100,100,81,81,81,65,65,81,81]",2026-03-15,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
robbins headache clinic,53,53,170,13,3.52,https://theheadachelab.com/,0,0,0.00,0.06,651000,"[65,65,65,53,53,53,65,80,80,65,53,34]",2026-04-02,"Knowledge panel, Image pack, Video, Image",informational,Organic
robbins headache clinic,78,78,170,13,3.52,https://theheadachelab.com/,0,0,0.00,0.06,651000,"[65,65,65,53,53,53,65,80,80,65,53,34]",2026-04-02,"Knowledge panel, Image pack, Video, Image",informational,Organic
botox rebate,58,58,140,38,50.77,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.45,256000,"[52,80,80,80,100,66,66,80,80,66,52,66]",2026-02-28,"Sitelinks, Video, People also ask, Related searches, AI overview",navigational,Organic
botox for tight neck muscles,72,72,30,14,3.83,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0.14,2690000,"[28,28,28,28,28,28,28,28,42,71,71,100]",2026-02-22,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cervical dystonia botox injections,28,28,70,23,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,944000,"[63,63,63,63,81,81,81,81,100,18,9,18]",2026-03-24,"Image pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
botoxsavingsprogram.com,43,43,210,19,1.03,https://theheadachelab.com/patient-resources/,0,0,0.00,0.18,0,"[14,32,100,14,11,11,11,11,11,14,11,7]",2026-03-07,"Sitelinks, Video","commercial, informational",Organic
botox copay assistance program,47,47,30,20,1.85,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.31,40900,"[60,40,40,40,40,40,40,40,60,100,80,100]",2026-03-21,"Video, Related searches, AI overview",informational,Organic
botox copay assistance program,74,74,30,20,1.85,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.31,40900,"[60,40,40,40,40,40,40,40,60,100,80,100]",2026-03-21,"Video, Related searches, AI overview",informational,Organic
head lab,52,52,40,11,1.03,https://theheadachelab.com/,0,0,0.00,0.11,450000000,"[28,71,57,100,71,71,42,57,57,42,42,71]",2026-03-20,"Video, Video Carousel, Popular products, Related searches",informational,Organic
head lab,91,91,40,11,1.03,https://theheadachelab.com/,0,0,0.00,0.11,450000000,"[28,71,57,100,71,71,42,57,57,42,42,71]",2026-03-20,"Video, Video Carousel, Popular products, Related searches",informational,Organic
botoxsavingsprogram com,33,33,210,26,1.50,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.18,2470,"[0,15,12,66,19,15,23,15,19,15,66,100]",2026-03-03,"Sitelinks, People also ask, Related searches",navigational,Organic
cervical dystonia botox injection sites,71,71,110,25,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,148,"[4,3,4,3,4,3,4,4,4,2,2,1]",2026-03-07,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
how long does botox for migraines take to work,42,42,90,10,0.00,https://theheadachelab.com/botox-for-chronic-migraine/,0,0,0.00,0,139,"[45,45,100,81,100,100,81,81,81,63,63,63]",2026-03-10,"Video, Related searches, Discussions and forums, AI overview",informational,Organic
botox reimbursement program,34,34,140,28,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,323000,"[15,28,21,34,21,21,28,28,65,53,100,100]",2026-02-16,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox saving card,51,51,40,35,2.71,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.36,11600000,"[28,57,71,57,57,57,28,57,57,71,57,71]",2026-02-24,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
how much does botox cost for migraines,82,82,50,1,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,120,"[44,55,77,100,55,44,44,55,55,100,77,77]",2026-04-03,"Sitelinks, Video, Related searches, AI overview",informational,Organic
is it a migraine quiz,48,48,50,11,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,23900000,"[27,27,36,45,36,27,18,63,45,63,81,63]",2026-03-05,"Video, Image, People also ask, Related searches",commercial,Organic
before and after cervical dystonia botox,61,61,90,16,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,822000,"[15,28,21,28,28,28,28,34,43,34,9,12]",2026-03-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
before and after cervical dystonia botox,67,67,90,16,0.00,https://theheadachelab.com/botox-for-cervical-dystonia-evergreen-park/,0,0,0.00,0,822000,"[15,28,21,28,28,28,28,34,43,34,9,12]",2026-03-01,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
evergreen lab,54,54,260,31,0.67,https://theheadachelab.com/,0,0,0.00,0.03,18400000,"[66,53,66,100,82,82,53,66,66,82,66,17]",2026-02-17,"Local pack, Video, Image, Related searches",commercial,Organic
botox for migraines cost without insurance,47,47,210,10,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,99,"[23,23,19,23,23,23,19,29,23,15,19,19]",2026-03-19,"Sitelinks, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
botox for migraines cost without insurance,76,76,210,10,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,99,"[23,23,19,23,23,23,19,29,23,15,19,19]",2026-03-19,"Sitelinks, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
how to get botox for migraines covered by insurance,87,87,210,17,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,1420000,"[17,21,21,26,26,32,21,21,26,21,11,14]",2026-02-18,"Sitelinks, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
botox savings card,28,28,210,33,6.02,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.26,4080000,"[34,81,81,100,65,65,53,53,65,53,65,65]",2026-02-21,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox savings card,30,30,210,33,6.02,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.26,4080000,"[34,81,81,100,65,65,53,53,65,53,65,65]",2026-02-21,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
botox patient assistance program,86,86,210,21,0.00,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0,114,"[100,80,100,100,80,80,100,80,100,100,80,80]",2026-03-26,"Video, Related searches",informational,Organic
what sort of headache do i have quiz,96,96,50,13,2.45,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0.4,8630000,"[35,35,35,50,50,50,35,35,50,14,14,14]",2026-03-05,"Video, Related searches, AI overview",informational,Organic
headache treatment chicago il,15,15,40,26,0.00,https://theheadachelab.com/,0,0,0.00,0,5820000,"[0,42,42,100,100,100]",2026-02-21,"Local pack, Sitelinks, Video, Image, Related searches, AI overview","informational, navigational",Organic
do i have migraine quiz,76,76,40,,0.00,https://theheadachelab.com/migraine-quiz-evergreen-park/,0,0,0.00,0,103,"[22,11,22,11,22,33,44,44,100,77,77,77]",2026-03-13,"Related searches, AI overview",informational,Organic
www botox savings program com,28,28,90,18,5.74,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.61,116,"[41,5,100,82,41,41,41,41,41,52,41,41]",2026-03-30,"Video, Related searches, AI overview",informational,Organic
botox eye twitch,62,62,50,0,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,101,"[55,77,77,55,55,55,55,55,44,77,77,55]",2026-04-01,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox eye twitch,66,66,50,0,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,101,"[55,77,77,55,55,55,55,55,44,77,77,55]",2026-04-01,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
botox eye twitch,75,75,50,0,4.14,https://theheadachelab.com/botox-for-blepharospasm/,0,0,0.00,0.03,101,"[55,77,77,55,55,55,55,55,44,77,77,55]",2026-04-01,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
my botox savings,31,31,90,29,3.40,https://theheadachelab.com/botox-savings-program-evergreen-park/,0,0,0.00,0.37,4020000,"[4,12,7,7,12,7,4,7,15,15,15,10]",2026-03-05,Related searches,"navigational, transactional",Organic
