name,country,visibility,difficulty,mentions,gap_mentions,volume,volume_trend,intents
Libertyville Imaging Centers,us,0,26,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,245,0;0;0;0;0;89;100;78;59;17;19;12,task:3;informational:47;navigational:42;commercial:5;transactional:3
Libertyville Medical and Healthcare Locations,us,0,44,0,theheadachelab.com:0;northwestneuro.com:4;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,229,0;0;0;0;0;84;100;22;16;32;38;10,task:3;informational:38;navigational:38;commercial:16;transactional:5
Vancouver Botox Clinics,ca,0,29,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,217,0;0;0;0;0;66;66;71;70;73;100;98,task:3;informational:23;navigational:49;commercial:20;transactional:5
Mobile Med Spa and Botox Services,us,0,44,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,215,0;0;0;0;0;59;100;96;77;81;34;30,task:2;informational:46;navigational:9;commercial:19;transactional:24
Skincare and Spa Services in Chicago,us,0,30,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,205,0;0;0;0;0;91;98;90;88;85;100;87,task:3;informational:46;navigational:16;commercial:17;transactional:18
Thermage Treatments in Chicago and Boston,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,190,0;0;0;0;0;57;46;58;83;77;100;80,task:1;informational:66;navigational:9;commercial:20;transactional:4
Advanced Medical and Dental Centers,us,0,37,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:1;innovative-medspa.com:0;synergyheadache.com:0,182,0;0;0;0;0;46;47;37;100;100;28;22,task:3;informational:35;navigational:38;commercial:19;transactional:5
Acne Treatment and Extraction Services,us,0,31,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,177,0;0;0;0;0;56;75;77;100;85;59;59,task:2;informational:29;navigational:5;commercial:42;transactional:22
Skin Finer Tools and Resources,us,0,61,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,170,0;0;0;0;0;91;91;86;100;93;77;50,task:10;informational:64;navigational:5;commercial:18;transactional:3
"Neurologists and Medical Practitioners in Elgin, Illinois",us,0,33,0,theheadachelab.com:0;northwestneuro.com:13;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,170,0;0;0;0;0;24;96;100;86;56;78;38,task:3;informational:50;navigational:15;commercial:18;transactional:14
Chicago Body Contouring and Sculpting,us,0,38,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,167,0;0;0;0;0;56;66;66;100;87;71;71,task:3;informational:43;navigational:14;commercial:32;transactional:8
Prickd Medspa Reviews and Services,us,0,55,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,162,0;0;0;0;0;81;100;81;72;67;16;15,informational:41;navigational:19;commercial:34;transactional:6
Chin and Facial Fillers in Chicago,us,0,30,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:3;synergyheadache.com:0,161,0;0;0;0;0;48;54;66;69;83;100;97,task:3;informational:42;navigational:10;commercial:40;transactional:5
Juvederm and Restylane in Chicago,us,0,26,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,146,0;0;0;0;0;100;81;77;34;38;70;65,informational:35;navigational:10;commercial:47;transactional:8
Highland Neurology Services,us,0,25,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,145,0;0;0;0;0;77;100;69;32;32;10;6,informational:12;navigational:53;commercial:33;transactional:2
IPL and Intense Pulsed Light Treatments in Chicago,us,0,24,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:4;synergyheadache.com:0,140,0;0;0;0;0;47;76;45;100;100;100;100,task:2;informational:30;navigational:8;commercial:55;transactional:5
skin tightening Chicago,us,0,49,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,137,0;0;0;0;0;100;49;33;92;44;32;31,task:3;informational:28;navigational:14;commercial:33;transactional:22
100 Percent Pure Eyeshadow,us,0,51,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,134,0;0;0;0;0;26;23;18;14;56;100;75,task:7;informational:34;navigational:28;commercial:11;transactional:20
Northwest Functional Neurology,us,0,53,0,theheadachelab.com:0;northwestneuro.com:1;chicagoheadache.com:0;innovative-medspa.com:0;synergyheadache.com:0,133,0;0;0;0;0;75;100;79;86;88;93;73,task:1;informational:36;navigational:47;commercial:10;transactional:6
Aluma Medical Aesthetics,us,0,29,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,129,0;0;0;0;0;41;100;46;56;59;82;63,task:3;informational:18;navigational:49;commercial:25;transactional:5
Renew Skin Clinics & Beauty Spa,au,0,26,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,127,0;0;0;0;0;100;100;100;72;45;47;45,task:7;informational:36;navigational:26;commercial:23;transactional:8
Hada Cosmetic and Spa Services,us,0,33,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,118,0;0;0;0;0;100;76;93;76;44;43;40,task:7;informational:25;navigational:41;commercial:15;transactional:12
Chicago Facial Rejuvenation and Laser Treatments,us,0,49,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:4;synergyheadache.com:0,113,0;0;0;0;0;17;100;16;9;11;22;22,task:3;informational:35;navigational:10;commercial:40;transactional:12
Picosure Laser Aesthetics Chicago,us,0,23,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,99,0;0;0;0;0;73;58;49;100;89;27;22,task:2;informational:15;navigational:25;commercial:53;transactional:5
Mineral BB Creams,au,0,33,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,99,0;0;0;0;0;71;71;83;98;99;100;99,task:7;informational:45;navigational:14;commercial:18;transactional:16
BBL Laser and Facial Treatments in Chicago and North Bend,us,0,17,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,99,0;0;0;0;0;46;64;50;55;67;71;100,task:5;informational:40;navigational:10;commercial:20;transactional:25
Mint Skin and Skincare Services,us,0,40,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,85,0;0;0;0;0;7;7;14;7;100;14;15,task:3;informational:18;navigational:34;commercial:40;transactional:5
Body Sculpting and Slimming Services in Schaumburg and Chicago,us,0,54,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,73,0;0;0;0;0;46;40;67;91;100;50;38,task:3;informational:39;navigational:28;commercial:25;transactional:5
Mineral Makeup Australia,us,0,47,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,67,0;0;0;0;0;45;72;57;80;92;93;100,task:5;informational:22;navigational:13;commercial:52;transactional:8
Chicago Aesthetics and Esthetics,us,0,48,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:1;synergyheadache.com:0,65,0;0;0;0;0;66;75;54;100;100;68;60,task:3;informational:42;navigational:7;commercial:40;transactional:8
Med Spa B12 Injections Chicago,us,0,7,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,55,0;0;0;0;0;100;100;94;72;72;67;68,task:7;informational:25;navigational:10;commercial:46;transactional:12
Celebrity Skin Clinics Chicago,us,0,50,0,theheadachelab.com:0;northwestneuro.com:0;chicagoheadache.com:0;innovative-medspa.com:2;synergyheadache.com:0,44,0;0;0;0;0;100;97;82;32;32;88;18,task:3;informational:18;navigational:70;commercial:4;transactional:5
